cust_ucv_id,src_frst_trns_dt,last_trns_dt,banner_desc,sale_chnl_desc,SRC_BC_node,banner_order,banner_desc_tgt,sale_chnl_desc_tgt,TGT_BC_node,tgt_frst_trns_dt,trans_tgt_days,trans_desc,bc_path,vertical_depth,link_src,link_tgt,banner_path,banner_depth
-1000000137958623674,2025-02-02,2025-05-12,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2025-05-09,96,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-1000000137958623674,2025-05-09,2025-07-30,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-1000000488748896826,2024-12-31,2025-05-10,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000000550015430266,2025-01-17,2025-02-06,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000000832042418682,2025-07-28,2025-07-28,B3,BRICK,B3 BRICK,2,,,STAYED,,,,W2 BRICK > B3 BRICK,2,B3 BRICK_2,STAYED_3,W2 > B3,2
-1000000832042418682,2024-08-02,2025-06-23,W2,BRICK,W2 BRICK,1,B3,BRICK,B3 BRICK,2025-07-28,360,1 --> 2,W2 BRICK,2,W2 BRICK_1,B3 BRICK_2,W2 > B3,2
-1000001237470251834,2024-11-18,2024-11-18,W2,BRICK,W2 BRICK,1,,,STAYED,,,,W2 BRICK,1,W2 BRICK_1,STAYED_2,W2,1
-1000001318961260607,2021-09-21,2024-06-30,SAMS,BRICK,SAMS BRICK,1,,,STAYED,,,,SAMS BRICK,1,SAMS BRICK_1,STAYED_2,SAMS,1
-1000001380931001980,2024-09-16,2025-08-10,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000001588260525050,2024-08-13,2024-08-13,W2,OD,W2 OD,1,,,STAYED,,,,W2 OD,1,W2 OD_1,STAYED_2,W2,1
-1000001931554046842,2024-08-02,2025-04-11,W2,BRICK,W2 BRICK,1,,,STAYED,,,,W2 BRICK,1,W2 BRICK_1,STAYED_2,W2,1
-1000001976580010170,2025-02-09,2025-02-09,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-1000001976580010170,2024-10-05,2025-05-17,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2025-02-09,127,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-100000205989621754,2024-10-24,2024-10-24,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-100000205989621754,2024-08-26,2025-07-13,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2024-10-24,59,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-1000002336981880058,2024-11-18,2024-11-18,W2,BRICK,W2 BRICK,1,B3,BRICK,B3 BRICK,2024-12-31,43,1 --> 2,W2 BRICK,2,W2 BRICK_1,B3 BRICK_2,W2 > B3,2
-1000002336981880058,2024-12-31,2025-02-02,B3,BRICK,B3 BRICK,2,,,STAYED,,,,W2 BRICK > B3 BRICK,2,B3 BRICK_2,STAYED_3,W2 > B3,2
-1000002745511862906,2024-06-10,2024-12-15,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000002969009885887,2025-07-27,2025-07-27,SAMS,OD,SAMS OD,3,,,STAYED,,,,SAMS BRICK > W2 OD > SAMS OD,3,SAMS OD_3,STAYED_4,SAMS > W2,2
-1000002969009885887,2021-04-07,2025-08-11,SAMS,BRICK,SAMS BRICK,1,W2,OD,W2 OD,2025-03-05,1428,1 --> 2,SAMS BRICK,3,SAMS BRICK_1,W2 OD_2,SAMS > W2,2
-1000002969009885887,2025-03-05,2025-03-05,W2,OD,W2 OD,2,SAMS,OD,SAMS OD,2025-07-27,144,2 --> 3,SAMS BRICK > W2 OD,3,W2 OD_2,SAMS OD_3,SAMS > W2,2
-1000003031065675066,2024-08-02,2024-08-02,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000003436493508282,2025-05-22,2025-08-12,B3,BRICK,B3 BRICK,2,,,STAYED,,,,W2 BRICK > B3 BRICK,2,B3 BRICK_2,STAYED_3,W2 > B3,2
-1000003436493508282,2024-11-18,2025-08-11,W2,BRICK,W2 BRICK,1,B3,BRICK,B3 BRICK,2025-05-22,185,1 --> 2,W2 BRICK,2,W2 BRICK_1,B3 BRICK_2,W2 > B3,2
-1000003732634075580,2024-11-04,2024-11-04,W2,BRICK,W2 BRICK,2,,,STAYED,,,,CASHI > W2 BRICK,2,W2 BRICK_2,STAYED_3,CASHI > W2,2
-1000003732634075580,2024-11-04,2024-11-04,CASHI,CASHI,CASHI,1,W2,BRICK,W2 BRICK,2024-11-04,0,1 --> 2,CASHI,2,CASHI_1,W2 BRICK_2,CASHI > W2,2
-1000003775141863802,2024-08-23,2024-10-17,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000003834992222330,2025-07-05,2025-07-05,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000003845023491130,2024-06-10,2025-02-12,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2025-03-16,279,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-1000003845023491130,2025-03-16,2025-07-13,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-1000003886609802687,2022-06-19,2025-08-10,SAMS,BRICK,SAMS BRICK,1,,,STAYED,,,,SAMS BRICK,1,SAMS BRICK_1,STAYED_2,SAMS,1
-1000004130577303290,2024-08-02,2024-08-02,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000004175603266618,2024-10-05,2025-04-03,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000004534412458175,2022-11-17,2025-08-10,SAMS,BRICK,SAMS BRICK,1,,,STAYED,,,,SAMS BRICK,1,SAMS BRICK_1,STAYED_2,SAMS,1
-1000004536005136506,2024-11-18,2024-12-19,W2,BRICK,W2 BRICK,1,,,STAYED,,,,W2 BRICK,1,W2 BRICK_1,STAYED_2,W2,1
-1000004874653491962,2024-08-23,2025-08-11,W2,BRICK,W2 BRICK,1,,,STAYED,,,,W2 BRICK,1,W2 BRICK_1,STAYED_2,W2,1
-1000004934503850554,2025-07-05,2025-07-05,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000004944535119290,2024-06-10,2025-05-31,W2,BRICK,W2 BRICK,1,,,STAYED,,,,W2 BRICK,1,W2 BRICK_1,STAYED_2,W2,1
-1000005230088931514,2024-08-02,2025-06-30,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000005230960213311,2022-02-24,2025-08-03,SAMS,BRICK,SAMS BRICK,1,,,STAYED,,,,SAMS BRICK,1,SAMS BRICK_1,STAYED_2,SAMS,1
-1000005275114894778,2024-12-07,2024-12-07,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-1000005275114894778,2024-10-05,2025-08-05,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2024-12-07,63,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-1000005544411070715,2025-02-07,2025-02-07,CASHI,CASHI,CASHI,1,B3,BRICK,B3 BRICK,2025-02-07,0,1 --> 2,CASHI,2,CASHI_1,B3 BRICK_2,CASHI > B3,2
-1000005544411070715,2025-02-07,2025-02-07,B3,BRICK,B3 BRICK,2,,,STAYED,,,,CASHI > B3 BRICK,2,B3 BRICK_2,STAYED_3,CASHI > B3,2
-1000006044046747514,2024-06-10,2025-08-08,W2,BRICK,W2 BRICK,1,B3,BRICK,B3 BRICK,2024-06-14,4,1 --> 2,W2 BRICK,2,W2 BRICK_1,B3 BRICK_2,W2 > B3,2
-1000006044046747514,2024-06-14,2025-04-04,B3,BRICK,B3 BRICK,2,,,STAYED,,,,W2 BRICK > B3 BRICK,2,B3 BRICK_2,STAYED_3,W2 > B3,2
-1000006267544770559,2021-05-14,2024-10-23,SAMS,BRICK,SAMS BRICK,1,,,STAYED,,,,SAMS BRICK,1,SAMS BRICK_1,STAYED_2,SAMS,1
-1000006329600559738,2024-08-02,2024-08-02,W2,BRICK,W2 BRICK,1,,,STAYED,,,,W2 BRICK,1,W2 BRICK_1,STAYED_2,W2,1
-1000006374626523002,2024-10-05,2025-07-04,W2,BRICK,W2 BRICK,1,,,STAYED,,,,W2 BRICK,1,W2 BRICK_1,STAYED_2,W2,1
-1000006590015857788,2024-12-23,2024-12-23,W2,EA,W2 EA,3,,,STAYED,,,,SAMS BRICK > SAMS OD > W2 EA,3,W2 EA_3,STAYED_4,SAMS > W2,2
-1000006590015857788,2021-02-06,2025-07-28,SAMS,BRICK,SAMS BRICK,1,SAMS,OD,SAMS OD,2024-08-31,1302,1 --> 2,SAMS BRICK,3,SAMS BRICK_1,SAMS OD_2,SAMS > W2,2
-1000006590015857788,2024-08-31,2024-08-31,SAMS,OD,SAMS OD,2,W2,EA,W2 EA,2024-12-23,114,2 --> 3,SAMS BRICK > SAMS OD,3,SAMS OD_2,W2 EA_3,SAMS > W2,2
-1000007282479636090,2022-04-11,2025-08-06,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-100000729081804602,2024-12-24,2025-07-24,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000007306827470843,2024-11-18,2024-11-18,CASHI,CASHI,CASHI,1,W2,BRICK,W2 BRICK,2024-11-18,0,1 --> 2,CASHI,2,CASHI_1,W2 BRICK_2,CASHI > W2,2
-1000007306827470843,2024-11-18,2024-11-18,W2,BRICK,W2 BRICK,2,,,STAYED,,,,CASHI > W2 BRICK,2,W2 BRICK_2,STAYED_3,CASHI > W2,2
-1000007343241033658,2024-11-26,2025-05-14,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000007429112187898,2024-11-25,2025-08-13,B3,BRICK,B3 BRICK,2,,,STAYED,,,,W2 BRICK > B3 BRICK,2,B3 BRICK_2,STAYED_3,W2 > B3,2
-1000007429112187898,2024-08-02,2025-08-05,W2,BRICK,W2 BRICK,1,B3,BRICK,B3 BRICK,2024-11-25,115,1 --> 2,W2 BRICK,2,W2 BRICK_1,B3 BRICK_2,W2 > B3,2
-1000007474138151226,2025-02-17,2025-02-17,B3,BRICK,B3 BRICK,2,,,STAYED,,,,W2 BRICK > B3 BRICK,2,B3 BRICK_2,STAYED_3,W2 > B3,2
-1000007474138151226,2024-10-05,2024-10-05,W2,BRICK,W2 BRICK,1,B3,BRICK,B3 BRICK,2025-02-17,135,1 --> 2,W2 BRICK,2,W2 BRICK_1,B3 BRICK_2,W2 > B3,2
-1000008125340473916,2024-03-14,2024-03-14,B3,OD,B3 OD,1,,,STAYED,,,,B3 OD,1,B3 OD_1,STAYED_2,B3,1
-1000008169189238396,2025-02-13,2025-06-07,W2,OD,W2 OD,1,,,STAYED,,,,W2 OD,1,W2 OD_1,STAYED_2,W2,1
-1000008243070003962,2024-06-10,2024-09-03,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000008334025343228,2023-06-03,2025-05-28,B3,EA,B3 EA,2,,,STAYED,,,,SAMS BRICK > B3 EA,2,B3 EA_2,STAYED_3,SAMS > B3,2
-1000008334025343228,2023-05-19,2025-07-23,SAMS,BRICK,SAMS BRICK,1,B3,EA,B3 EA,2023-06-03,15,1 --> 2,SAMS BRICK,2,SAMS BRICK_1,B3 EA_2,SAMS > B3,2
-1000008442752661882,2024-11-26,2025-07-22,W2,BRICK,W2 BRICK,1,,,STAYED,,,,W2 BRICK,1,W2 BRICK_1,STAYED_2,W2,1
-100000852773372218,2024-12-30,2025-04-03,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000008528623816122,2024-08-02,2025-07-20,W2,BRICK,W2 BRICK,1,,,STAYED,,,,W2 BRICK,1,W2 BRICK_1,STAYED_2,W2,1
-1000008573649779450,2024-10-05,2025-08-02,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000009020679544700,2021-03-08,2025-04-25,SAMS,BRICK,SAMS BRICK,1,,,STAYED,,,,SAMS BRICK,1,SAMS BRICK_1,STAYED_2,SAMS,1
-100000924339196282,2024-11-01,2025-08-07,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000009284841922490,2024-12-31,2025-03-16,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2025-01-26,26,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-1000009284841922490,2025-01-26,2025-01-30,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-1000009342581632186,2024-06-10,2025-08-05,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2025-06-02,357,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-1000009342581632186,2025-06-02,2025-06-02,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-1000009380551119999,2025-06-08,2025-08-10,SAMS,BRICK,SAMS BRICK,2,,,STAYED,,,,SAMS OD > SAMS BRICK,2,SAMS BRICK_2,STAYED_3,SAMS,1
-1000009380551119999,2025-05-31,2025-05-31,SAMS,OD,SAMS OD,1,SAMS,BRICK,SAMS BRICK,2025-06-08,8,1 --> 2,SAMS OD,2,SAMS OD_1,SAMS BRICK_2,SAMS,1
-1000009481502892538,2022-11-18,2024-05-24,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-1000009481502892538,2022-04-11,2025-07-31,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2022-11-18,221,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-1000009628135444346,2024-08-02,2025-05-26,W2,BRICK,W2 BRICK,1,B3,BRICK,B3 BRICK,2025-03-27,237,1 --> 2,W2 BRICK,2,W2 BRICK_1,B3 BRICK_2,W2 > B3,2
-1000009628135444346,2025-03-27,2025-07-29,B3,BRICK,B3 BRICK,2,,,STAYED,,,,W2 BRICK > B3 BRICK,2,B3 BRICK_2,STAYED_3,W2 > B3,2
-1000009673161407674,2024-10-05,2024-10-05,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000010298819334523,2025-02-22,2025-02-22,CASHI,CASHI,CASHI,2,,,STAYED,,,,B3 BRICK > CASHI,2,CASHI_2,STAYED_3,B3 > CASHI,2
-1000010298819334523,2025-02-22,2025-02-22,B3,BRICK,B3 BRICK,1,CASHI,CASHI,CASHI,2025-02-22,0,1 --> 2,B3 BRICK,2,B3 BRICK_1,CASHI_2,B3 > CASHI,2
-1000010384353550714,2024-12-31,2024-12-31,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000010442093260346,2024-06-10,2025-01-31,W2,BRICK,W2 BRICK,1,B3,BRICK,B3 BRICK,2024-09-30,112,1 --> 2,W2 BRICK,2,W2 BRICK_1,B3 BRICK_2,W2 > B3,2
-1000010442093260346,2024-09-30,2025-04-30,B3,BRICK,B3 BRICK,2,,,STAYED,,,,W2 BRICK > B3 BRICK,2,B3 BRICK_2,STAYED_3,W2 > B3,2
-1000010612337932986,2025-03-15,2025-06-23,B3,BRICK,B3 BRICK,2,,,STAYED,,,,W2 BRICK > B3 BRICK,2,B3 BRICK_2,STAYED_3,W2 > B3,2
-1000010612337932986,2024-11-10,2024-11-10,W2,BRICK,W2 BRICK,1,B3,BRICK,B3 BRICK,2025-03-15,125,1 --> 2,W2 BRICK,2,W2 BRICK_1,B3 BRICK_2,W2 > B3,2
-1000010727647072570,2024-08-02,2025-06-01,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2025-05-29,300,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-1000010727647072570,2025-05-29,2025-05-29,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-1000010747342176698,2024-06-14,2025-08-13,W2,BRICK,W2 BRICK,1,B3,BRICK,B3 BRICK,2024-09-05,83,1 --> 2,W2 BRICK,2,W2 BRICK_1,B3 BRICK_2,W2 > B3,2
-1000010747342176698,2024-09-05,2025-07-30,B3,BRICK,B3 BRICK,2,,,STAYED,,,,W2 BRICK > B3 BRICK,2,B3 BRICK_2,STAYED_3,W2 > B3,2
-1000011711849561210,2024-11-10,2024-11-10,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000011741287546490,2024-11-26,2025-03-07,W2,BRICK,W2 BRICK,1,B3,BRICK,B3 BRICK,2024-11-29,3,1 --> 2,W2 BRICK,2,W2 BRICK_1,B3 BRICK_2,W2 > B3,2
-1000011741287546490,2024-11-29,2025-05-21,B3,BRICK,B3 BRICK,2,,,STAYED,,,,W2 BRICK > B3 BRICK,2,B3 BRICK_2,STAYED_3,W2 > B3,2
